Country	CO2_kt_2013	Population	CO2_per_capita_2013
Algeria	141000	40400000	3.5
Argentina	199000	43590400	4.8
Australia	409000	24108395	17.3
Belgium	97000	11316587	8.7
Brazil	501000	206086327	2.5
Canada	565000	36155487	15.9
Chile	79000	18191900	4.4
China	10540000	1377249840	7.6
Czech Republic	112000	10558524	10.4
Egypt	225000	91130016	2.7
France	323000	66710000	5
Germany	767000	81770900	9.3
India	2341000	1291296779	1.8
Indonesia	452000	258705000	1.8
Iran	618000	79342900	7.9
Iraq	139000	37883543	4
Italy	337000	60665551	5.5
Japan	1278000	126960000	10.1
Kazakhstan	236000	17753200	14.2
Kuwait	99000	4183658	28.33
Malaysia	227000	31393492	7.5
Mexico	456000	122273473	3.7
Netherlands	158000	17017820	9.4
Nigeria	94000	186948187	0.5
Oman	74000	4420133	18.92
Pakistan	158000	194023708	0.9
Philippines	97000	103229200	1
Poland	298000	38437239	7.8
Qatar	89000	2587564	39.13
Romania	78000	19861400	3.6
Russia	1766000	146600000	12.4
Saudi Arabia	494000	32248200	16.8
South Africa	392000	54956900	7.4
South Korea	610000	50801405	12.3
Spain	242000	46423064	5.1
Taiwan	277000	23503349	11.8
Thailand	272000	65321074	4
Turkey	353000	78741053	4.7
Ukraine	249000	42692393	5.5
United Arab Emirates	201000	9856000	21.3
United Kingdom	415000	65110000	6.5
United States	5334000	323868000	16.5
Uzbekistan	123000	31576400	4.2
Venezuela	195000	31028700	6.3
Vietnam	190000	91700000	2.1
