No,GAW ID,WDCGG ID,WIGOS ID,Name,WMO Category,Station Category,Latitude,Longitude,Elevation,Country/Territory,WMO Region,Status,Submit
"1001","CAI","CAI1001","0-20008-0-CAI","CAIRO","GAW Regional","fixed station","30.0833339691","31.2833328247","35","Egypt","REGION I (Africa)","Operational","*"
"1002","IZO","IZO1002","0-20008-0-IZO","Izaña (Tenerife)","GAW Global","fixed station","28.3090000153","-16.4993991852","2373","Spain","REGION I (Africa)","Operational","*"
"1003","ASK","ASK1003","0-20008-0-ASK","Assekrem","GAW Global","fixed station","23.26116","5.63115","2710","Algeria","REGION I (Africa)","Operational","*"
"1004","CVO","CVO1004","0-20008-0-CVO","Cape Verde Atmospheric Observatory","GAW Global","fixed station","16.864025","-24.867519","10","Cabo Verde","REGION I (Africa)","Operational","*"
"1005","MKN","MKN1005","0-20008-0-MKN","Mt. Kenya","GAW Global","fixed station","-0.0621999986","37.2971992493","3678","Kenya","REGION I (Africa)","Operational","*"
"1006","SEY","SEY1006","0-20008-0-SEY","Mahé","GAW Regional","fixed station","-4.6700000763","55.1699981689","3","Seychelles","REGION I (Africa)","Operational","*"
"1007","ASC","ASC1007","0-20008-0-ASC","Ascension Island","GAW Regional","fixed station","-7.9699997902","-14.3999996185","91","United Kingdom of Great Britain and Northern Ireland","REGION I (Africa)","Operational","*"
"1008","NMB","NMB1008","0-20008-0-NMB","Gobabeb","GAW Regional","fixed station","-23.5699996948","15.029999733","408","Namibia","REGION I (Africa)","Operational","*"
"1009","CPT","CPT1009","0-20008-0-CPT","Cape Point","GAW Global","fixed station","-34.3534812927","18.4896831512","230","South Africa","REGION I (Africa)","Operational","*"
"1010","AMS","AMS1010","0-20008-0-AMS","Amsterdam Island","GAW Global","fixed station","-37.7983016968","77.5378036499","70","France","REGION I (Africa)","Operational","*"
"1011","CRZ","CRZ1011","0-20008-0-CRZ","Crozet","GAW Regional","fixed station","-46.4333381653","51.8335800171","120","France","REGION I (Africa)","Operational","*"
"1012","FRF","FRF1012","0-20008-0-FRF","Farafra","GAW Regional","fixed station","27.0581169128","27.9901638031","92","Egypt","REGION I (Africa)","Operational","*"
"1013","TAM","TAM1013","0-20008-0-TAM","Tamanrasset","GAW Global","fixed station","22.7833328247","5.5166668892","1377","Algeria","REGION I (Africa)","Operational"
"1014","CAB","CAB1014","0-20008-0-CAB","Casablanca","GAW Regional","fixed station","33.5666656494","-7.1999998093","56","Morocco","REGION I (Africa)","Operational"
"1015","SDB","SDB1015","0-20008-0-SDB","Sidi-Barrani","GAW Regional","fixed station","31.61667","25.9","24","Egypt","REGION I (Africa)","Operational"
"1016","THA","THA1016","0-20008-0-THA","Thala","GAW Regional","fixed station","36.5499992371","8.6833333969","1091","Tunisia","REGION I (Africa)","Non-reporting"
"1017","MLD","MLD1017","0-20008-0-MLD","Malindi","GAW Regional","fixed station","-2.9900000095","40.1899986267","0","Kenya","REGION I (Africa)","Operational"
"1018","BMS","BMS1018","0-20008-0-BMS","Bomassa","GAW Contributing networks","fixed station","2.2","16.33333","350","Congo","REGION I (Africa)","Non-reporting"
"1019","ETP","ETP1019","0-20008-0-ETP","Etosha Pan","GAW Regional","fixed station","-19.2000007629","15.8999996185","1100","Namibia","REGION I (Africa)","Closed"
"1020","BBY","BBY1020","0-20008-0-BBY","Bambey","GAW Regional","fixed station","14.6999998093","-16.4666690826","17","Senegal","REGION I (Africa)","Closed"
"1021","SKK","SKK1021","0-20008-0-SKK","Skukuza","GAW Contributing networks","fixed station","-24.99306","31.58389","0","South Africa","REGION I (Africa)","Non-reporting"
"1022","MRS","MRS1022","0-20008-0-MRS","Marsa Matrûh","GAW Regional","fixed station","31.3299999237","27.2199993134","35","Egypt","REGION I (Africa)","Operational"
"1023","SPK","SPK1023","0-20008-0-SPK","Springbok","GAW Regional","fixed station","-29.6666660309","17.8999996185","1006","South Africa","REGION I (Africa)","Non-reporting"
"1024","LEO","LEO1024","0-20008-0-LEO","Leopoldville/Kinshasa","GAW Regional","fixed station","-4.3000001907","15.5500001907","450","Democratic Republic of the Congo","REGION I (Africa)","Closed"
"1025","LTR","LTR1025","0-20008-0-LTR","Louis Trichardt","GAW Contributing networks","fixed station","-22.98611","30.0225","1465","South Africa","REGION I (Africa)","Non-reporting"
"1026","IRE","IRE1026","0-20008-0-IRE","Irene","GAW Regional","fixed station","-25.9099998474","28.2166671753","1524","South Africa","REGION I (Africa)","Operational"
"1027","BEC","BEC1027","0-20008-0-BEC","Columb-Béchar","GAW Regional","fixed station","31.6299991608","-2.25","806","Algeria","REGION I (Africa)","Closed"
"1028","BNI","BNI1028","0-20008-0-BNI","Bunia","GAW Regional","fixed station","1.5","30.2199993134","1239","Democratic Republic of the Congo","REGION I (Africa)","Closed"
"1029","IFR","IFR1029","0-20008-0-IFR","Ifrane","GAW Regional","fixed station","33.5","-5.1666665077","1665","Morocco","REGION I (Africa)","Non-reporting"
"1030","HUR","HUR1030","0-20008-0-HUR","Hurghada","GAW Regional","fixed station","27.4166660309","33.75","7","Egypt","REGION I (Africa)","Operational"
"1031","COT","COT1031","0-20008-0-COT","Cotonou","GAW Regional","fixed station","6.2100000381","2.2300000191","10","Benin","REGION I (Africa)","Operational"
"1032","SIW","SIW1032","0-20008-0-SIW","Siwa","GAW Regional","fixed station","29.25","25.1499996185","3","Egypt","REGION I (Africa)","Closed"
"1033","MPT","MPT1033","0-20008-0-MPT","Maputo","GAW Regional","fixed station","-25.9699993134","32.5999984741","70","Mozambique","REGION I (Africa)","Closed"
"1034","ZTL","ZTL1034","0-20008-0-ZTL","Zoétélé","GAW Contributing networks","fixed station","3.25","11.88333","720","Cameroon","REGION I (Africa)","Non-reporting"
"1035","ASW","ASW1035","0-20008-0-ASW","ASWAN","GAW Regional","fixed station","23.9666671753","32.7833328247","194","Egypt","REGION I (Africa)","Operational"
"1036","NMP","NMP1036","0-20008-0-NMP","Nampula","GAW Regional","fixed station","-15.1000003815","39.2799987793","440","Mozambique","REGION I (Africa)","Closed"
"1037","DAA","DAA1037","0-20008-0-DAA","De Aar","GAW Regional","fixed station","-30.6647224426","23.9925003052","1287","South Africa","REGION I (Africa)","Non-reporting"
"1038","SNH","SNH1038","0-20008-0-SNH","St. Helena","GAW Regional","fixed station","-15.9300003052","-5.6500000954","460","United Kingdom of Great Britain and Northern Ireland","REGION I (Africa)","Closed"
"1039","BZV","BZV1039","0-20008-0-BZV","Brazzaville","GAW Regional","fixed station","-4.2800002098","15.25","314","Congo","REGION I (Africa)","Closed"
"1040","BNZ","BNZ1040","0-20008-0-BNZ","Banizoumbou","GAW Contributing networks","fixed station","13.51667","2.633333","220","Niger","REGION I (Africa)","Non-reporting"
"1041","SCO","SCO1041","0-20008-0-SCO","Santa Cruz (Tenerife)","GAW Regional","fixed station","28.472530365","-16.2473602295","52","Spain","REGION I (Africa)","Operational"
"1042","RUN","RUN1042","0-20008-0-RUN","La Réunion","GAW Global","fixed station","-21.0796","55.3841","2160","France","REGION I (Africa)","Operational","*"
"1043","OSG","OSG1043","0-20008-0-OSG","Oshogbo","GAW Regional","fixed station","7.8000001907","4.5","300","Nigeria","REGION I (Africa)","Non-reporting"
"1044","BML","BML1044","0-20008-0-BML","Beni Mellal","GAW Regional","fixed station","32.3666648865","-6.4000000954","468","Morocco","REGION I (Africa)","Non-reporting"
"1045","DMS","DMS1045","0-20008-0-DMS","Maun","GAW Regional","fixed station","-19.9755992889","23.4272003174","928","Botswana","REGION I (Africa)","Non-reporting"
"1046","","KBG1046","0-20008-0-KBG","Katibougou","GAW Contributing networks","fixed station","12.93333","7.533333","290","Mali","REGION I (Africa)","Operational"
"1047","LAG","LAG1047","0-20008-0-LAG","Lagos","GAW Regional","fixed station","6.5999999046","3.2999999523","10","Nigeria","REGION I (Africa)","Non-reporting"
"1048","FUN","FUN1048","0-20008-0-FUN","Funchal (Madeira)","GAW Regional","fixed station","32.6500015259","-16.8833332062","58","Portugal","REGION I (Africa)","Non-reporting"
"1049","LIL","LIL1049","0-20008-0-LIL","Lilongwe","GAW Regional","fixed station","-13.7833299637","33.7833328247","1228","Malawi","REGION I (Africa)","Closed"
"1050","ILO","ILO1050","0-20008-0-ILO","Ilorin","GAW Other elements","fixed station","8.529999733","4.5669999123","350","Nigeria","REGION I (Africa)","Non-reporting"
"1051","KER","KER1051","0-20008-0-KER","Port-aux-Français (Iles Kerguélen)","GAW Regional","fixed station","-49.3499984741","70.2799987793","29","France","REGION I (Africa)","Operational"
"1052","DJG","DJG1052","0-20008-0-DJG","Djougou","GAW Contributing networks","fixed station","9.65","1.733333","430","Benin","REGION I (Africa)","Non-reporting"
"1053","MAR","MAR1053","0-20008-0-MAR","Marion Island","GAW Regional","fixed station","-46.8699989319","37.8499984741","20","South Africa","REGION I (Africa)","Closed"
"1054","LTO","LTO1054","0-20008-0-LTO","Lamto","GAW Contributing networks","fixed station","6.2244443893","-5.0277776718","155","Côte d'Ivoire","REGION I (Africa)","Operational"
"1055","NRB","NRB1055","0-20008-0-NRB","Nairobi","GAW Regional","fixed station","-1.30169","36.75919","1795","Kenya","REGION I (Africa)","Operational"
"1056","AMF","AMF1056","0-20008-0-AMF","Amersfoort","GAW Contributing networks","fixed station","-27.07028","29.86722","1608","South Africa","REGION I (Africa)","Non-reporting"
"1057","PRT","PRT1057","0-20008-0-PRT","Pretoria","GAW Regional","fixed station","-25.7333335876","28.1833324432","1369","South Africa","REGION I (Africa)","Closed"
"2001","KOT","KOT2001","0-20008-0-KOT","Kotelnyj Island","GAW Regional","fixed station","76","137.8699951172","5","Russian Federation","REGION II (Asia)","Non-reporting","*"
"2002","TIK","TIK2002","0-20008-0-TIK","Tiksi","GAW Regional","fixed station","71.5861663818","128.9188232422","8","Russian Federation","REGION II (Asia)","Operational","*"
"2003","BER","BER2003","0-20008-0-BER","Bering Island","GAW Regional","fixed station","55.2000007629","165.9799957275","13","Russian Federation","REGION II (Asia)","Closed","*"
"2004","UUM","UUM2004","0-20008-0-UUM","Ulaan Uul","GAW Regional","fixed station","44.444","111.0861","992","Mongolia","REGION II (Asia)","Operational","*"
"2005","KZD","KZD2005","0-20008-0-KZD","Sary Taukum","GAW Regional","fixed station","44.4500007629","77.5699996948","412","Kazakhstan","REGION II (Asia)","Non-reporting","*"
"2006","MMB","MMB2006","0-20008-0-MMB","Memanbetsu","GAW Other elements","fixed station","43.9199981689","144.1999969482","33","Japan","REGION II (Asia)","Closed","*"
"2007","KZM","KZM2007","0-20008-0-KZM","Plateau Assy","GAW Regional","fixed station","43.25","77.8799972534","2519","Kazakhstan","REGION II (Asia)","Non-reporting","*"
"2008","","COI2008","0-20008-0-COI","Cape Ochiishi","GAW Contributing networks","fixed station","43.16028","145.49739","42.4","Japan","REGION II (Asia)","Operational","*"
"2009","ISK","ISK2009","0-20008-0-ISK","Issyk-Kul","GAW Regional","fixed station","42.6166648865","76.9833297729","1640","Kyrgyzstan","REGION II (Asia)","Operational","*"
