Project	Station ID	Name	Country code	Lat	Lon	Elevation
INGOS	BIK	Bialystok	PL	53.2294	23.0128	183
INGOS	CES	Cabauw	NL	51.970258	4.926161	0
INGOS	GIF	Gif sur Yvette	FR	48.71	2.1475	160
INGOS	HEI	Heidelberg	DE	49.4172	8.675	113
INGOS	HUN	Hegyhatsal	HU	46.9558	16.6522	248
INGOS	KAS	Kasprowy Wierch	PL	49.2333	19.9833	1987
INGOS	MHD	Mace Head	IE	53.3261	-9.9036	5
INGOS	SCH	Schauinsland	DE	47.9167	7.9166	1205
INGOS	VKV	Voevikov	RU	59.95	30.7	70
INGOS	WAO	Weybourne Atmospheric Observatory	GB	52.95	1.12	15
FLUXNET	CH-Aws	Alp Weissenstein	CH	46.583306	9.790417	1988
FLUXNET	CH-Cha	Chamau grassland	CH	47.21022	8.41044	394
FLUXNET	CH-Fru	Fruebuel grassland	CH	47.11583	8.53778	975
FLUXNET	CH-Lae	Laegern	CH	47.47808	8.3650	689
FLUXNET	CH-Oe2	Oensingen crop	CH	47.28631	7.73433	452
FLUXNET	CZ-RAJ	Rajec	CZ	49.4437236	16.6965125	649
FLUXNET	CZ-Stn	Stitna	CZ	49.035975	17.9699	562
FLUXNET	DE-Akm	Anklam	DE	53.86617	13.68342	-1
FLUXNET	DE-Hte	Huetelmoor	DE	54.210278	12.176111	1
FLUXNET	DE-Obe	Oberbärenburg	DE	50.78666	13.72129	739
FLUXNET	ES-Abr	Albuera	ES	38.701839	-6.785881	279
FLUXNET	ES-LM1	Majadas del Tietar North	ES	39.94269	-5.778683	266
FLUXNET	ES-LM2	Majadas del Tietar South	ES	39.934592	-5.775881	270
FLUXNET	RU-Fy2	Fyodorovskoye dry spruce stand	RU	56.447603	32.901878	276
FLUXNET	RU-Fyo	Fyodorovskoye	RU	56.4615278	32.9220833	274
FLUXNET	SE-Ros	Rosinedal-3	SE	64.1725	19.738	157
ATMO	BIK	Bialystok	PL	53.231998	23.027	183
ATMO	BIS	Biscarrosse	FR	44.3781	-1.2311	73
ATMO	BIR	Birkenes Observatory	NO	58.3886	8.2519	219
ATMO	BRM	Beromunster	CH	47.1896	8.1755	797
ATMO	BSD	Bilsdale	UK	54.359	-1.15	380
ATMO	CBW	Cabauw	NL	51.971	4.927	-1
ATMO	CRP	Carnsore Point	IE	52.18	-6.37	9
ATMO	DEC	Delta de l'Ebre	ES	40.7439	0.7867	1
ATMO	EEC	El Estrecho	ES	36.0586	-5.664	20
ATMO	ERS	Ersa	FR	42.9692	9.3801	533
ATMO	FKL	Finokalia	GR	35.3378	25.6694	150
ATMO	GIC	Sierra de Gredos	ES	40.3457	-5.1755	1436
ATMO	HEI	Heidelberg	DE	49.417	8.674	116
